sn,object type,object,time,Capacity usage(%),Mapped LUN capacity(MB),Total capacity(MB),Used capacity(MB),array_num
20231121131239,Array,System,2023-03-04 00:00:00,30.21944747092823,,3619711450.449219,1093856800.367676,Array3
20231121131239,Array,System,2023-03-05 00:00:00,30.261221493345577,,3619711450.449219,1095368899.44043,Array3
20231121131239,Array,System,2023-03-06 00:00:00,30.32210406873596,,3619711450.449219,1097572672.993164,Array3
20231121131239,Array,System,2023-03-07 00:00:00,30.51418260499975,,3619711450.449219,1104525361.76416,Array3
20231121131239,Array,System,2023-03-08 00:00:00,30.30177840625975,,3619711450.449219,1096836942.661133,Array3
20231121131239,Array,System,2023-03-09 00:00:00,30.34235784125575,,3619711450.449219,1098305801.116211,Array3
20231121131239,Array,System,2023-03-10 00:00:00,30.492850664688905,,3619711450.449219,1103753207.078125,Array3
20231121131239,Array,System,2023-03-11 00:00:00,30.691372366915115,,3619711450.449219,1110939119.865234,Array3
20231121131239,Array,System,2023-03-12 00:00:00,30.886346076545923,,3619711450.449219,1117996605.558106,Array3
20231121131239,Array,System,2023-03-13 00:00:00,31.03657055454049,,3619711450.449219,1123434298.189453,Array3
20231121131239,Array,System,2023-03-14 00:00:00,31.202454925383726,,3619711450.449219,1129438833.755371,Array3
20231121131239,Array,System,2023-03-15 00:00:00,31.37814629103641,,3619711450.449219,1135798354.235352,Array3
20231121131239,Array,System,2023-03-16 00:00:00,31.50633195174697,,3619711450.449219,1140438305.273926,Array3
20231121131239,Array,System,2023-03-17 00:00:00,31.722200882145582,,3619711450.449219,1148252137.665527,Array3
20231121131239,Array,System,2023-03-18 00:00:00,32.14724719514975,,3619711450.449219,1163637587.727051,Array3
20231121131239,Array,System,2023-03-19 00:00:00,32.31416359104836,,3619711450.449219,1169679479.62207,Array3
20231121131239,Array,System,2023-03-20 00:00:00,32.51560099880522,,3619711450.449219,1176970932.536133,Array3
20231121131239,Array,System,2023-03-21 00:00:00,32.732265416836704,,3619711450.449219,1184813559.284668,Array3
20231121131239,Array,System,2023-03-22 00:00:00,32.85921388199198,,3619711450.449219,1189408727.414063,Array3
20231121131239,Array,System,2023-03-23 00:00:00,32.96212217779652,,3619711450.449219,1193133710.780762,Array3
20231121131239,Array,System,2023-03-24 00:00:00,33.199332416780166,,3619711450.449219,1201720036.962891,Array3
20231121131239,Array,System,2023-03-25 00:00:00,33.39215829535631,,3619711450.449219,1208699777.369141,Array3
